y_positions,T_true,T_pinn,T_analytical
0.0,350.0,350.699677718293,350.0
0.005025125628140704,350.0002512562814,350.46256809773774,350.0002609708823
0.010050251256281407,350.00050251256283,350.03031769752295,350.00052194176465
0.015075376884422112,350.0007537688442,349.6772853799914,350.00078291264697
0.020100502512562814,350.0010050251256,350.3501166819324,350.0010438835293
0.02512562814070352,350.00125628140705,350.1979989741179,350.0013048544116
0.030150753768844223,350.00150753768844,350.4491041477023,350.00156582529394
0.035175879396984924,350.0017587939698,350.3193446948108,350.00182679617626
0.04020100502512563,350.0020100502513,350.52678640791095,350.0020877670586
0.04522613065326633,350.00226130653266,349.7346437007524,350.0023487379409
0.05025125628140704,350.00251256281405,350.6612095956312,350.00260970882323
0.05527638190954774,350.0027638190955,350.1015636214417,350.00287067970555
0.06030150753768845,350.0030150753769,351.0406455116895,350.0031316505879
0.06532663316582915,350.00326633165827,349.6586724226135,350.0033926214702
0.07035175879396985,350.0035175879397,350.87149948952236,350.0036535923525
0.07537688442211056,350.0037688442211,350.10272423595245,350.00391456323484
0.08040201005025126,350.0040201005025,349.67831109869525,350.00417553411717
0.08542713567839197,350.00427135678393,349.76232843975674,350.0044365049995
0.09045226130653267,350.0045226130653,349.84434895896817,350.0046974758818
0.09547738693467336,350.0047738693467,350.21685684254766,350.00495844676414
0.10050251256281408,350.00502512562815,350.2664428696459,350.00521941764646
0.10552763819095477,350.00527638190954,349.71842637994024,350.0054803885288
0.11055276381909548,350.0055276381909,349.9933503420604,350.0057413594111
0.11557788944723618,350.00577889447237,351.0769140737783,350.0060023302934
0.1206030150753769,350.00603015075376,350.8698017358041,350.00626330117575
0.1256281407035176,350.0062814070352,350.2244432418722,350.0065242720581
0.1306532663316583,350.0065326633166,350.0255344024007,350.0067852429404
0.135678391959799,350.006783919598,350.0667995829571,350.0070462138227
0.1407035175879397,350.0070351758794,350.3137941622446,350.00730718470504
0.14572864321608042,350.0072864321608,349.4958901495616,350.00756815558736
0.15075376884422112,350.0075376884422,349.8788494197305,350.0078291264697
0.15577889447236182,350.00778894472364,349.17349690778485,350.008090097352
0.16080402010050251,350.00804020100503,350.20765176230765,350.00835106823433
0.1658291457286432,350.0082914572864,350.3318894271378,350.00861203911666
0.17085427135678394,350.00854271356786,349.76694948241817,350.008873009999
0.17587939698492464,350.00879396984925,350.79578735149425,350.0091339808813
0.18090452261306533,350.00904522613064,349.39616239462947,350.0093949517636
0.18592964824120603,350.0092964824121,349.2771090423072,350.00965592264595
0.19095477386934673,350.00954773869347,350.12177364797344,350.00991689352827
0.19597989949748745,350.00979899497486,350.53334814628096,350.0101778644106
0.20100502512562815,350.0100502512563,350.8520140969852,350.0104388352929
0.20603015075376885,350.0103015075377,349.7808593761032,350.01069980617524
